Order,Family,Binomial,Parental care,Dry weight,Lifetime fecundity,Egg volume
Coleoptera,Silphidae,Nicrophorus_pustulatus,Provisioning,199.25,121,*
Coleoptera,Silphidae,Nicrophorus_tomentosus,Provisioning,136.33,42.5,*
Coleoptera,Silphidae,Nicrophorus_vespillo,Provisioning,140.69,*,41.98
Coleoptera,Silphidae,Nicrophorus_vespilloides,Provisioning,106.86,84,*
Coleoptera,Silphidae,Phosphuga_atrata,No care,103.8,159,*
Coleoptera,Staphylinidae,Aleochara_bilineata,No care,3.44,700,0.34
Coleoptera,Staphylinidae,Bledius_spectabilis,Provisioning,7.11,24,*
Coleoptera,Staphylinidae,Tachyporus_hypnorum,No care,5.74,94.6,*
Coleoptera,Tenebrionidae,Bolitotherus_cornutus,No care,61.18,10.5,*
Coleoptera,Tenebrionidae,Tenebrio_molitor,No care,55.49,276,*
Coleoptera,Tenebrionidae,Tenebrio_obscurus,No care,63.66,463,*
Coleoptera,Tenebrionidae,Tribolium_castaneum,No care,3.28,360,*
Coleoptera,Trogositidae,Tenebroides_mauritanicus,No care,17.45,1190,*
Dermaptera,Anisolabididae,Euboriella_annulipes,Guarding,20.91,52.7,1.19
Dermaptera,Forficulidae,Anechura_bipunctata,Provisioning,22.14,55,*
Dermaptera,Forficulidae,Forficula_auricularia,Provisioning,18.14,40,2.09
Dermaptera,Labiduridae,Labidura_riparia,Provisioning,73.17,440,*
Dictyoptera,Blaberidae,Diploptera_punctata,Provisioning,75.44,29,*
Dictyoptera,Blaberidae,Nauphoeta_cinerea,Guarding,100.25,193,14.3
Dictyoptera,Blaberidae,Pycnoscelus_surinamensis,Guarding,66.88,70,17.5
Dictyoptera,Blattellidae,Blattella_germanica,Guarding,22.62,242,10.09
Dictyoptera,Blattidae,Eurycotis_floridana,No care,672.51,104,*
Dictyoptera,Blattidae,Periplaneta_australasiae,No care,187.55,180,*
