code,genus,species,family,abundance
THYRPA,Thyrsodium,paraense_cf.,Anacardiaceae,10
TOCCGU,Tococa,guianensis,Melastomataceae,4
TOCOBU,Tocoyena,burnham,Rubiaceae,22
TOVOAL,Tovomita,alargada,Clusiaceae,11
TOVOGC,Tovomita,grancrasa,Clusiaceae,23
TOVOGR,Tovomita,grande,Clusiaceae,41
TOVOTY,Tovomita,tyana,Clusiaceae,8
TRATAS,Trattinnickia,lawrancei,Burseraceae,12
TRATGL,Trattinnickia,glaziovii_cf.,Burseraceae,21
TRATLA,Trattinnickia,lancifolia,Burseraceae,2
TREMMI,Trema,micrantha,Ulmaceae,18
TRICAD,Trichilia,adolfi,Meliaceae,12
TRICCI,Trichilia,cip,Meliaceae,12
TRICDE,Trichilia,densapunta,Meliaceae,6
TRICEL,Trichilia,elsae,Meliaceae,323
TRICLA,Trichilia,laxipaniculata,Meliaceae,2
TRICMA,Trichilia,maynasiana,Meliaceae,88
TRICMI,Trichilia,micrantha,Meliaceae,73
TRICOB,Trichilia,obovata,Meliaceae,127
TRICPA,Trichilia,pallida,Meliaceae,132
TRICPL,Trichilia,pleeana_cf.,Meliaceae,13
TRICPO,Trichilia,poeppigii,Meliaceae,595
TRICQU,Trichilia,quadrijuga,Meliaceae,14
TRICRU,Trichilia,rubra,Meliaceae,113
TRICSE,Trichilia,septentrionalis,Meliaceae,276
TRICSO,Trichilia,solitudinis,Meliaceae,222
TRIGTR,Trigynaea,triplinervis,Annonaceae,148
TRIPDU,Triplaris,dugandii,Polygonaceae,1
TRYMAM,Trymatococcus,amazonicus,Moraceae,77
TURPOC,Turpinia,occidentalis,Staphyleaceae,139
UNONFL,Unonopsis,floribunda,Annonaceae,144
UNONVE,Unonopsis,veneficiorum,Annonaceae,1071
URERBA,Urera,baccifera,Urticaceae,43
VANTGU,Vantanea,guianensis,Humiriaceae,84
VIRODI,Virola,dixonii,Myristicaceae,90
VIRODU,Virola,duckei,Myristicaceae,128
VIROEL,Virola,elongata,Myristicaceae,114
VIROFL,Virola,flexuosa,Myristicaceae,74
VIROMI,Virola,microfuzzy,Myristicaceae,79
VIROMO,Virola,mollissima,Myristicaceae,55
VIROMU,Virola,multinervia,Myristicaceae,18
VIROOB,Virola,obovata,Myristicaceae,399
VIROPA,Virola,pavonis,Myristicaceae,143
VIROSU,Virola,surinamensis,Myristicaceae,9
VIROTH,Virola,theiodora,Myristicaceae,7
VISMBA,Vismia,baccifera,Clusiaceae,21
VISMBO,Vismia,bosque,Clusiaceae,36
VISMFL,Vismia,floribunda,Clusiaceae,11
VISMMA,Vismia,macrophylla,Clusiaceae,7
VISMSP,Vismia,sprucei,Clusiaceae,18
VITESC,Vitex,schunkei,Verbenaceae,11
VITETR,Vitex,triflora,Verbenaceae,25
VOCHBR,Vochysia,braceliniae,Vochysiaceae,7
VOURAN,Vouarana,anomala,Sapindaceae,14
WARSCO,Warszewiczia,cordata,Rubiaceae,203
WETTMA,Wettinia,maynensis,Arecaceae,171
WITTST,Wittmackanthus,stanleyanus,Rubiaceae,139
XYLOCU,Xylopia,cuspidata,Annonaceae,279
XYLOHI,Xylopia,hiena,Annonaceae,8
XYLOLI,Xylopia,aromatica,Annonaceae,57
XYLSTE,Xylosma,tessmannii_cf.,Flacourtiaceae,1
ZANTGL,Zanthoxylum,glanredonda,Rutaceae,23
ZANTMA,Zanthoxylum,margland,Rutaceae,140
ZANTNE,Zanthoxylum,nervi,Rutaceae,7
ZANTPE,Zanthoxylum,perp,Rutaceae,37
ZANTPN,Zanthoxylum,pendiente,Rutaceae,12
ZANTSE,Zanthoxylum,setulosum,Rutaceae,4
ZANTSP,Zanthoxylum,sprucei_aff.,Rutaceae,60
ZANTSU,Zanthoxylum,suave,Rutaceae,1
ZIZICI,Ziziphus,cinnamomum,Rhamnaceae,19
ZYGIHE,Zygia,heteroneura,Fabaceae,1774
ZYGIME,Zygia,mediana,Fabaceae,358
